institution_key,institution,type,in_target,contacts,research,· Senior,· Operational,· Academic,finance,it_systems,unclassified,personas_held,valid_emails,missing_personas
st mark and st john university,University of St Mark & St John,University,Yes,2,1,0,1,0,0,1,0,2,0,Finance  
st mary s university,St Mary's University,University,Yes,2,2,2,0,0,0,0,0,1,1,Finance  IT/Systems
study group,Study Group,Company,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
t therapeutics ltd,T-Therapeutics Ltd,Company,No,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
tech educators,Tech Educators,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
touchlight,Touchlight,Unclassified,No,2,2,2,0,0,0,0,0,1,2,Finance  IT/Systems
trinity laban,Trinity Laban,Unclassified,Yes,2,0,0,0,0,2,0,0,1,0,Research  IT/Systems
tutors international,Tutors International,Unclassified,No,2,0,0,0,0,1,1,0,2,0,Research  
ucfb,UCFB,Unclassified,Yes,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
uhr universities human resources,UHR Universities Human Resources,University,Yes,2,2,0,2,0,0,0,0,1,2,Finance  IT/Systems
university college london hospitals nhs foundation trust,University College London Hospitals NHS Foundation Trust,University,Yes,2,1,1,0,0,1,0,0,2,0,IT/Systems
usp college,USP College,Unclassified,No,2,0,0,0,0,2,0,0,1,0,Research  IT/Systems
virti,Virti,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
warwick warwick business school university,University Of Warwick - Warwick Business School,University,Yes,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
wcg,WCG,Unclassified,No,2,0,0,0,0,1,1,0,2,2,Research  
wellcome sanger institute,Wellcome Sanger Institute,Research institute,Yes,2,2,1,1,0,0,0,0,1,2,Finance  IT/Systems
wellington school,Wellington School,School / academy trust,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
wigan and leigh college and university centre,Wigan & Leigh College And University Centre,University,Yes,2,0,0,0,0,2,0,0,1,0,Research  IT/Systems
wishford schools,Wishford Schools,Unclassified,No,2,0,0,0,0,2,0,0,1,2,Research  IT/Systems
abi research,ABI Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
acacia avenue,Acacia Avenue,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
academy of music and sound,Academy Of Music & Sound,Unclassified,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
acm academy of contemporary music,ACM - Academy Of Contemporary Music,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
acorn early years,Acorn Early Years,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
activate learning education trust,Activate Learning Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ada lovelace institute,Ada Lovelace Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
african institute for development policy,African Institute For Development Policy,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
agcas,AGCAS,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
agilysis limited,Agilysis Limited,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
airfire control limited,AIRFIRE CONTROL LIMITED,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
akamis bio,Akamis Bio,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
amgen inc,Amgen Inc.,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
amosshe the student services organisation,AMOSSHE The Student Services Organisation,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
applied photophysics,Applied Photophysics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
apply group,The Apply Group,Company,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
aquila the diocese of canterbury academies trust,Aquila The Diocese Of Canterbury Academies Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
arc universities group,Arc Universities Group,University,Yes,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
architectural association,Architectural Association,Charity / membership body,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
ashburton cookery school,Ashburton Cookery School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
association of colleges,Association of Colleges,Charity / membership body,No,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
association of heads of university administration,Association of Heads of University Administration (AHUA),University,Yes,1,0,0,0,0,0,0,1,0,0,Research  Finance  IT/Systems
astrum mat,Astrum MAT,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
atass sports,ATASS Sports,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
atkinsr alis,AtkinsRéalis,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
aviv group,AVIV Group,Company,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
aylesbury vale academy,The Aylesbury Vale Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
babraham institute,The Babraham Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
barclays,Barclays,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
barinthus biotherapeutics,Barinthus Biotherapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
barnet and southgate college,Barnet And Southgate College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
basis,Basis,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
battelle crop protection solutions,Battelle Crop Protection Solutions,Company,No,1,1,0,0,1,0,0,0,1,0,Finance  IT/Systems
bayes centre,Bayes Centre,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
bbc,BBC,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
becomingx,BecomingX,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
bedfordshire schools trust,Bedfordshire Schools Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
belfast metropolitan college,Belfast Metropolitan College,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
bennett institute for applied data science,Bennett Institute For Applied Data Science,Research institute,Yes,1,1,0,0,1,0,0,0,1,0,Finance  IT/Systems
beyond schools trust,Beyond Schools Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
bibliu,BibliU,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
bimm institute,BIMM Institute,Research institute,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
bimm university,BIMM University,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
bishop burton college,Bishop Burton College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
bishop chadwick catholic education trust,Bishop Chadwick Catholic Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
bit bio,Bit.bio,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
blavatnik school of government university of oxford,Blavatnik School Of Government University Of Oxford,School / academy trust,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
bloxham school,Bloxham School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
blue marble research,Blue Marble Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
bmg research,BMG Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
bodleian libraries university of oxford,The Bodleian Libraries University Of Oxford,University,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
british academy,The British Academy,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
broken string biosciences,Broken String Biosciences,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
buckinghamshire college group,Buckinghamshire College Group,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
bufdg,BUFDG,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
california polytechnic state university,California Polytechnic State University,University,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
cambridge epigenetix,Cambridge Epigenetix,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
canonium learning trust,Canonium Learning Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
capital city college group,Capital City College Group,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
cardiac risk in the young,Cardiac Risk In The Young,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
cardiff university students union,Cardiff University Students Union,University,Yes,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
catalyst inc,Catalyst Inc.,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ccs insight,CCS Insight,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
cell guidance systems,Cell Guidance Systems,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
centre for health economics,Centre For Health Economics,Research institute,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
centrus,Centrus,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
cfe ltd,CFE Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
chartered institute of export and international trade,The Chartered Institute Of Export & International Trade,Research institute,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
charterhouse school,Charterhouse School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
childwise research,CHILDWISE Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
city and guilds,City & Guilds,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
city college norwich,City College Norwich,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
city lit,City Lit,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
city of liverpool college,The City Of Liverpool College,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
clayesmore school,Clayesmore School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
climate spring,Climate Spring,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
cnrs,CNRS,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
codeclan,CodeClan,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
coleg cambria,Coleg Cambria,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
coleg cymraeg cenedlaethol,Coleg Cymraeg Cenedlaethol,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
community and patient preference research,Community And Patient Preference Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
consynance therapeutics inc,ConSynance Therapeutics Inc.,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
coresight research,Coresight Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
cormack consultancy group,Cormack Consultancy Group,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
cosector university of london,CoSector - University of London,University,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
cosmetic courses,Cosmetic Courses,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
courtauld institute of art u of london,"Courtauld Institute of Art, U. of London",University,Yes,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
coventry university uhcw,Coventry University / UHCW,University,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
culturestudio,Culturestudio.,Unclassified,No,1,1,0,0,0,0,0,0,1,0,Finance  IT/Systems
curious sky ltd,Curious Sky Ltd,Company,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
dartington service design lab,Dartington Service Design Lab,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
davies mckerr,Davies+mckerr,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
dean trust,The Dean Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
department for education,Department for Education,Government / public body,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
dialect,Dialect.,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
differentology,Differentology,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
discovery research,Discovery Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
dunn school,Dunn School,School / academy trust,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
east surrey college,East Surrey College,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
ecc,ECC,Unclassified,No,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
ecorys,Ecorys,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
ecospray limited,ECOSPRAY LIMITED,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
edgbaston high school for girls,Edgbaston High School For Girls,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
edge foundation,Edge Foundation,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
edinburgh business school university,University Of Edinburgh Business School,University,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
edinburgh law school university,University Of Edinburgh Law School,University,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
edinburgh moray house school of education and sport university,University Of Edinburgh Moray House School Of Education And Sport,School / academy trust,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
edinburgh university students association,Edinburgh University Studentsâ€‹ Association,University,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
education people,The Education People,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
education sub saharan africa,Education Sub Saharan Africa,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
edukos trust,Edukos Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ekc group,EKC Group,Company,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
elastik,Elastik,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
enactus uk and ireland,Enactus UK & Ireland,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
energy consortium,The Energy Consortium (TEC),Charity / membership body,No,1,0,0,0,0,0,0,0,0,1,Research  Finance  IT/Systems
energy for growth hub,The Energy For Growth Hub,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
enfuse group,Enfuse Group,Company,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
english uk,English UK,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
enjoy education,Enjoy Education,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
enroly,Enroly,Unclassified,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
entrepreneurs network,The Entrepreneurs Network,Charity / membership body,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
epcc,EPCC,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
epilepsygtx,EpilepsyGTx,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
equal education partners,Equal Education Partners,Company,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
eton academy,Eton Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
european futures observatory,The European Futures Observatory,Unclassified,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
european science foundation,European Science Foundation,Charity / membership body,No,1,1,0,0,0,0,0,0,1,0,Finance  IT/Systems
evidera,Evidera,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
evox therapeutics ltd,Evox Therapeutics Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
explori,Explori,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
expressionedits,ExpressionEdits,Unclassified,No,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
faraday institute for science and religion,The Faraday Institute For Science And Religion,Research institute,Yes,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
fawrii,Fawrii,Unclassified,No,1,0,0,0,0,0,1,0,1,0,Research  Finance  
fie foundation for international education,FIE Foundation For International Education,Charity / membership body,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
field ready,Field Ready,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
fitch solutions,Fitch Solutions,Company,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
flinders university,Flinders University,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
flywire payments limited,Flywire Payments Limited,Company,No,1,0,0,0,0,0,0,0,0,0,Research  Finance  IT/Systems
four stones mat,The Four Stones MAT,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
frays academy trust,Frays Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
future biomanufacturing research hub,Future Biomanufacturing Research Hub,Unclassified,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
future focus research,Future Focus Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
futuru,FuturU,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
gaia learning,Gaia Learning,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
gain therapeutics,Gain Therapeutics,Unclassified,No,1,1,0,0,0,0,0,0,1,1,Finance  IT/Systems
galen research ltd,Galen Research Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
gallery trust,The Gallery Trust,Museum / heritage,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
gateway qualifications,Gateway Qualifications,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
genomics england limited,Genomics England Limited,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
girls in charge initiative,Girls In Charge Initiative,Unclassified,No,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
gist research ltd,GIST Research Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
glasgow kelvin college,Glasgow Kelvin College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
global entrepreneurship and development institute,Global Entrepreneurship And Development Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
global school leaders,Global School Leaders,School / academy trust,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
global university systems,Global University Systems,University,Yes,1,0,0,0,0,0,0,1,0,0,Research  Finance  IT/Systems
gloucestershire college,Gloucestershire College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
gower college swansea,Gower College Swansea,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
grant thornton uk,Grant Thornton UK,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
grantsnow,GrantsNow,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
gresham college,Gresham College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
griffin institute,The Griffin Institute,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
gusto research,Gusto Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
gw4 alliance,GW4 Alliance,Charity / membership body,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
halesowen college,Halesowen College,Unclassified,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
hampton school,Hampton School,School / academy trust,No,1,0,0,0,0,0,1,0,1,1,Research  Finance  
hansard society,Hansard Society,Charity / membership body,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
harbin institute of technology shenzhen,Harbin Institute Of Technology Shenzhen,Research institute,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
harlow consulting,Harlow Consulting,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
harness therapeutics,Harness Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
hartpury university and hartpury college,Hartpury University and Hartpury College,University,Yes,1,1,0,1,0,0,0,0,1,0,Finance  IT/Systems
hasmonean high school,Hasmonean High School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
hatch digital,Hatch Digital,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
heart of worcestershire college,Heart Of Worcestershire College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
hendon school,Hendon School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
herefordshire ludlow and north shropshire college,Herefordshire Ludlow And North Shropshire College,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
hfl education,HFL Education,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
holy family catholic multi academy trust,Holy Family Catholic Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
huish episcopi academy,Huish Episcopi Academy,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
hull york medical school,Hull York Medical School,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
humanities research institute university of buckingham,Humanities Research Institute University Of Buckingham,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
hurstpierpoint college,Hurstpierpoint College,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
ibn rushd centre of excellence for islamic research,Ibn Rushd Centre Of Excellence For Islamic Research,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
icaro consulting limited,ICARO CONSULTING LIMITED,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
icen risk,ICEN RISK,Unclassified,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
identity exploration ltd,Identity Exploration Ltd,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
idtechex,IDTechEx,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
iff research,IFF Research,Unclassified,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
ifma,IFMA,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
iksuda therapeutics,Iksuda Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
imap centre ltd,IMap Centre Ltd,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
impact futures uk,Impact Futures UK,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
impel college of london ltd,IMPEL COLLEGE OF LONDON LTD,University college,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
in toto ed,In Toto Ed,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
inchbald school of design,Inchbald School Of Design,University,Yes,1,0,0,0,0,0,1,0,1,1,Research  Finance  
informa,Informa,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
information services group,Information Services Group,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ingenox therapeutics,IngenOx Therapeutics,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
ingenox therapeutics limited,IngenOx Therapeutics Limited,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
inserm,INSERM,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
insights family,The Insights Family,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
instil bio,Instil Bio,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
institute for fiscal studies,Institute For Fiscal Studies,Research institute,Yes,1,1,0,0,1,0,0,0,1,1,Finance  IT/Systems
institute for voluntary action research,Institute For Voluntary Action Research,Research institute,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
institute for war and peace reporting,Institute For War & Peace Reporting,Research institute,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
invictus education trust,Invictus Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ipsos uk,Ipsos UK,Company,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
isos partnership,Isos Partnership,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
ivy education trust,Ivy Education Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
jaguar gene therapy,Jaguar Gene Therapy,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
jamworks,Jamworks,Unclassified,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
js group,JS Group,Company,No,1,0,0,0,0,0,0,1,0,1,Research  Finance  IT/Systems
juniper training ltd,Juniper Training Ltd,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
kedleston group,Kedleston Group,Company,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
kennedy institute of rheumatology,Kennedy Institute Of Rheumatology,Research institute,Yes,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
kernow learning multi academy trust,Kernow Learning Multi Academy Trust,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
keystone tutors,Keystone Tutors,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
kidsknowbest,KidsKnowBest,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
king s ely,King's Ely,Unclassified,No,1,1,0,1,0,0,0,0,1,1,Finance  IT/Systems
king s house school,King's House School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
kings education,Kings Education,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
knowledge exchange uk,Knowledge Exchange UK,Unclassified,No,1,1,0,0,0,0,0,0,1,1,Finance  IT/Systems
kynetec,Kynetec,Unclassified,No,1,1,1,0,0,0,0,0,1,0,Finance  IT/Systems
laidlaw schools trust,Laidlaw Schools Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,0,Research  IT/Systems
lancashire university,University of Lancashire,University,Yes,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
ldn apprenticeships,LDN Apprenticeships,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
leading edge academies partnership,Leading Edge Academies Partnership,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
learners trust,LEARNERsâ€‹ Trust,Charity / membership body,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
learning today leading tomorrow,Learning Today Leading Tomorrow,Unclassified,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
leeds university business school,Leeds University Business School,University,Yes,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
leukaemia uk,Leukaemia UK,Unclassified,No,1,1,1,0,0,0,0,0,1,1,Finance  IT/Systems
light hall school,Light Hall School,School / academy trust,No,1,0,0,0,0,1,0,0,1,1,Research  IT/Systems
