Page,New Followers,Posts,Comments,Comments per day,Reactions,engagements,engagements_per_post
Smart Grant Solutions,208,93,34,0,746,780,8.387096774193548
Worktribe,159,2,0,0,58,58,29.0
BlackDackel,0,0,0,0,0,0,
Cayuse,661,100,7,0,1000,1007,10.07
GrantsNow,591,132,17,0,1302,1319,9.992424242424242
cBrain,932,87,50,0,3714,3764,43.264367816091955
