institution,contacts_held,research,finance,it_systems,personas_held,what_is_missing,priority,institution_key
Harper Adams University,16,10,3,1,3,complete,-,harper adams university
Loughborough University,16,14,1,1,3,complete,-,loughborough university
"Royal Holloway, University of London",16,8,4,3,3,complete,-,royal holloway university of london
SOAS University of London,16,9,5,1,3,complete,-,soas university of london
Solent University (Southampton),21,14,3,4,3,complete,-,solent university
University of the West of Scotland,16,12,1,3,3,complete,-,the west of scotland university
University College Birmingham,17,7,2,4,3,complete,-,university college birmingham
University College London,16,9,7,0,2,IT/Systems,2 - medium,university college london
Aberystwyth University,15,11,1,3,3,complete,-,aberystwyth university
City St Georges University Of London,15,6,3,6,3,complete,-,city st georges university of london
Queen Margaret University,15,6,4,1,3,complete,-,queen margaret university
Royal Veterinary College,15,6,4,4,3,complete,-,royal veterinary college
School of Advanced Study (Univ of London),15,10,0,2,2,Finance  ,2 - medium,school of advanced study
Universities UK,15,3,1,2,3,complete,-,universities uk
EMBL-EBI (European Bioinformatics Institute),14,11,3,0,2,IT/Systems,2 - medium,embl ebi
Jisc,14,5,1,4,3,complete,-,jisc
London Metropolitan University,14,6,4,4,3,complete,-,london metropolitan university
University of Sunderland,16,12,3,1,3,complete,-,sunderland university
CABI,13,2,3,3,3,complete,-,cabi
Royal College of Art,13,8,4,0,2,IT/Systems,2 - medium,royal college of art
Sheffield Hallam University,13,10,2,1,3,complete,-,sheffield hallam university
SRUC,13,12,1,0,2,IT/Systems,2 - medium,sruc
UK Dementia Research Institute,13,9,3,1,3,complete,-,uk dementia research institute
Brunel University Of London,12,7,4,1,3,complete,-,brunel university of london
University of Chester,12,11,1,0,2,IT/Systems,2 - medium,chester university
University of Cumbria,11,6,4,1,3,complete,-,cumbria university
University Of Hertfordshire,10,6,1,2,3,complete,-,hertfordshire university
British Museum,9,7,2,0,2,IT/Systems,2 - medium,british museum
City University Of London,9,9,0,0,1,Finance  IT/Systems,2 - medium,city university of london
Edge Hill University,10,7,3,0,2,IT/Systems,2 - medium,edge hill university
International Institute for Environment and Development,9,3,2,1,3,complete,-,international institute for environment and development
Robert Gordon University,9,8,1,0,2,IT/Systems,2 - medium,robert gordon university
York St John University,10,8,0,2,2,Finance  ,2 - medium,york st john university
Abertay University,8,5,1,2,3,complete,-,abertay university
University of Derby,8,3,2,2,3,complete,-,derby university
Falmouth University,8,6,1,1,3,complete,-,falmouth university
University of Gloucestershire,8,7,1,0,2,IT/Systems,2 - medium,gloucestershire university
National Foundation For Educational Research,8,8,0,0,1,Finance  IT/Systems,2 - medium,national foundation for educational research
Royal Holloway,8,6,1,1,3,complete,-,royal holloway
St Marys University Twickenham,8,4,3,1,3,complete,-,st marys university twickenham
Teeside University,9,4,2,3,3,complete,-,teeside university
Leeds Trinity University,7,4,1,2,3,complete,-,leeds trinity university
Royal College Of Music,7,2,5,0,2,IT/Systems,2 - medium,royal college of music
TEESSIDE UNIVERSITY,7,7,0,0,1,Finance  IT/Systems,2 - medium,teesside university
University Of The Highlands And Islands,7,5,2,0,2,IT/Systems,2 - medium,the highlands and islands university
University of Wales Trinity Saint David,7,7,0,0,1,Finance  IT/Systems,2 - medium,wales trinity saint david university
Arden University,6,4,0,2,2,Finance  ,2 - medium,arden university
Brighton and Sussex Medical School,6,5,1,0,2,IT/Systems,2 - medium,brighton and sussex medical school
University of Brighton,6,4,1,1,3,complete,-,brighton university
Buckinghamshire New University,6,4,0,2,2,Finance  ,2 - medium,buckinghamshire new university
The Courtauld Institute of Art,6,2,2,1,3,complete,-,courtauld institute of art
The Glasgow School of Art,6,3,2,1,3,complete,-,glasgow school of art
The James Hutton Institute,6,3,2,1,3,complete,-,james hutton institute
Norwich University of the Arts,6,5,1,0,2,IT/Systems,2 - medium,norwich university of the arts
Ravensbourne University London,6,2,3,1,3,complete,-,ravensbourne university london
University Of Roehampton,6,2,3,1,3,complete,-,roehampton university
Royal Agricultural University,6,4,1,1,3,complete,-,royal agricultural university
The Royal Central School Of Speech And Drama,6,2,3,1,3,complete,-,royal central school of speech and drama
Wrexham University,6,2,2,1,3,complete,-,wrexham university
BRAC University,5,3,1,1,3,complete,-,brac university
British Antarctic Survey,5,3,0,0,1,Finance  IT/Systems,2 - medium,british antarctic survey
University of Buckingham,5,2,2,1,3,complete,-,buckingham university
University of Chichester,5,1,3,1,3,complete,-,chichester university
Earlham Institute,5,2,0,1,2,Finance  ,2 - medium,earlham institute
London School of Hygiene & Tropical Medicine,5,2,3,0,2,IT/Systems,2 - medium,london school of hygiene and tropical medicine
University of London,5,0,2,3,2,Research  ,2 - medium,london university
Arts University Bournemouth,4,2,1,1,3,complete,-,arts university bournemouth
Guildhall School of Music & Drama,4,3,0,1,2,Finance  ,3 - low,guildhall school of music and drama
Health Sciences University,4,2,1,1,3,complete,-,health sciences university
INTO University Partnerships,4,1,3,0,2,IT/Systems,3 - low,into university partnerships
The University of Law,4,2,0,2,2,Finance  ,3 - low,law university
Leeds Arts University,4,1,2,1,3,complete,-,leeds arts university
Royal Northern College of Music,4,1,3,0,2,IT/Systems,3 - low,royal northern college of music
University of Suffolk,4,4,0,0,1,Finance  IT/Systems,3 - low,suffolk university
TASO,4,4,0,0,1,Finance  IT/Systems,3 - low,taso
University of Winchester,4,4,0,0,1,Finance  IT/Systems,3 - low,winchester university
University of Wolverhampton,4,3,0,1,2,Finance  ,3 - low,wolverhampton university
Bayes Business School,3,3,0,0,1,Finance  IT/Systems,3 - low,bayes business school
GuildHE,3,1,1,0,2,IT/Systems,3 - low,guildhe
IOE - UCL's Faculty Of Education And Society,3,3,0,0,1,Finance  IT/Systems,3 - low,ioe ucl s faculty of education and society
Liverpool Hope University,5,4,0,1,2,Finance  ,2 - medium,liverpool hope university
Medical Research Council,3,2,1,0,2,IT/Systems,3 - low,medical research council
Metanoia Institute,3,0,3,0,1,Research  IT/Systems,3 - low,metanoia institute
NatCen Social Research,3,3,0,0,1,Finance  IT/Systems,3 - low,natcen social research
Paul Mellon Centre For Studies In British Art,3,2,1,0,2,IT/Systems,3 - low,paul mellon centre for studies in british art
Plymouth Marine Laboratory (PML),3,3,0,0,1,Finance  IT/Systems,3 - low,plymouth marine laboratory
Regent's University London,3,0,1,2,2,Research  ,3 - low,regent s university london
UK Centre for Ecology & Hydrology (UKCEH),3,3,0,0,1,Finance  IT/Systems,3 - low,uk centre for ecology and hydrology
Universities Scotland,3,2,0,0,1,Finance  IT/Systems,3 - low,universities scotland
Advance HE,2,1,0,0,1,Finance  IT/Systems,3 - low,advance he
All Nations Christian College,2,1,1,0,2,IT/Systems,3 - low,all nations christian college
Alliance Manchester Business School,2,2,0,0,1,Finance  IT/Systems,3 - low,alliance manchester business school
Cambridge Judge Business School,2,2,0,0,1,Finance  IT/Systems,3 - low,cambridge judge business school
Cardiff Business School,2,2,0,0,1,Finance  IT/Systems,3 - low,cardiff business school
Carnegie Trust For The Universities Of Scotland,2,1,1,0,2,IT/Systems,3 - low,carnegie trust for the universities of scotland
Colchester Institute,2,0,1,1,2,Research  ,3 - low,colchester institute
Committee of University Chairs,2,0,0,0,0,Research  Finance  IT/Systems,3 - low,committee of university chairs
Department Of Engineering At The University Of Cambridge,2,2,0,0,1,Finance  IT/Systems,3 - low,department of engineering at the university of cambridge
Institute For Jewish Policy Research,2,2,0,0,1,Finance  IT/Systems,3 - low,institute for jewish policy research
The Institute Of Ismaili Studies,2,2,0,0,1,Finance  IT/Systems,3 - low,institute of ismaili studies
John Innes Centre,2,0,0,0,0,Research  Finance  IT/Systems,3 - low,john innes centre
LMA - Liverpool,2,0,2,0,1,Research  IT/Systems,3 - low,lma liverpool
