Page,New Followers,Posts,Comments,Comments per day,Reactions,engagements,engagements_per_post
Smart Grant Solutions,12,0,1,0,3,4,
Worktribe,15,0,0,0,0,0,
BlackDackel,0,0,0,0,0,0,
Cayuse,49,7,0,0,59,59,8.428571428571429
GrantsNow,49,16,2,0,250,252,15.75
cBrain,81,7,7,0,201,208,29.714285714285715
