dimension,views
"Greater Chennai Area, India",14
"Pune/Pimpri-Chinchwad Area, India",24
"London Area, United Kingdom, United Kingdom",67
"Greater Ahmedabad Area, India",7
"Milton Keynes, United Kingdom",17
"Mumbai Metropolitan Region, India",29
